order_id,status
1001,Approved
1002,Approved
1003,Pending
1004,Rejected
1005,Pending
1006,Rejected
1007,Rejected
1008,Pending
1009,Rejected
1010,Pending
1011,Pending
1012,Rejected
1013,Pending
1014,Pending
1015,Pending
1016,Pending
1017,Approved
1018,Approved
1019,Pending
1020,Rejected
1021,Approved
1022,Pending
1023,Approved
1024,Rejected
1025,Pending
1026,Approved
1027,Approved
1028,Approved
1029,Rejected
1030,Rejected
1031,Approved
1032,Approved
1033,Pending
1034,Rejected
1035,Pending
1036,Pending
1037,Rejected
1038,Rejected
1039,Approved
1040,Rejected
1041,Pending
1042,Pending
1043,Pending
1044,Approved
1045,Pending
1046,Approved
1047,Rejected
1048,Approved
1049,Pending
1050,Pending
1051,Pending
1052,Approved
1053,Pending
1054,Rejected
1055,Rejected
1056,Pending
1057,Pending
1058,Approved
1059,Approved
1060,Pending
1061,Approved
1062,Rejected
1063,Approved
1064,Pending
1065,Rejected
1066,Approved
1067,Rejected
1068,Pending
1069,Rejected
1070,Rejected
1071,Pending
1072,Rejected
1073,Pending
1074,Rejected
1075,Pending
1076,Approved
1077,Approved
1078,Rejected
1079,Approved
1080,Pending
1081,Approved
1082,Approved
1083,Rejected
1084,Pending
1085,Rejected
1086,Rejected
1087,Rejected
1088,Rejected
1089,Pending
1090,Rejected
1091,Rejected
1092,Rejected
1093,Pending
1094,Rejected
1095,Rejected
1096,Rejected
1097,Rejected
1098,Rejected
1099,Approved
1100,Pending
